X,Y,Z,X,Y,Z,W
-3.071461,313.481873,41.675522,0.000009,0.000026,-0.000025,1
-3.070081,313.47699,41.679665,0.000025,0.000029,-0.000031,1
-3.070362,313.483185,41.677547,0.000018,0.000031,-0.000024,1
-3.072358,313.473175,41.678173,0.00003,0.000027,-0.000031,1
-3.069172,313.486633,41.677696,0.00003,0.00003,-0.000037,1
-3.073077,313.469482,41.677113,0.000022,0.000023,-0.000028,1
-3.069903,313.491241,41.676933,0.000035,0.000029,-0.00003,1
-3.0723,313.47702,41.676052,0.000017,0.000025,-0.000033,1
-3.069715,313.485321,41.678333,0.000041,0.000029,-0.000041,1
-3.07142,313.479736,41.677238,0.000022,0.000025,-0.000025,1
-3.071101,313.483124,41.678455,0.000042,0.000028,-0.000043,1
-3.070275,313.483032,41.67609,0.000025,0.000024,-0.000023,1
-3.072758,313.471832,41.679379,0.000041,0.000021,-0.000027,1
-3.069033,313.488281,41.676929,0.000029,0.000028,-0.000018,1
-3.071879,313.467987,41.678501,0.000037,0.000023,-0.00001,1
-3.068283,313.49292,41.678062,0.000031,0.000031,-0.000029,1
-3.071274,313.473389,41.677486,0.000006,0.000027,-0.000011,1
-3.068628,313.484131,41.679325,0.000031,0.000029,-0.000022,1
-3.070274,313.478027,41.676823,0.000029,0.00003,-0.000017,1
-3.069391,313.476227,41.680374,0.000043,0.000032,-0.000025,1
-3.06931,313.487366,41.67717,0.000021,0.000031,-0.000029,1
-3.070774,313.472778,41.679081,0.000048,0.000026,-0.000024,1
-3.069326,313.485443,41.678646,0.000029,0.000033,-0.00003,1
-3.071001,313.471008,41.677704,0.000023,0.000028,-0.000022,1
-3.069597,313.485229,41.679966,0.000041,0.000032,-0.000026,1
-3.071953,313.476624,41.676846,0.000018,0.000024,-0.000025,1
-3.069953,313.4823,41.680462,0.000042,0.00003,-0.000032,1
-3.070613,313.478455,41.677799,0.00002,0.000025,-0.000021,1
-3.070702,313.47583,41.679665,0.000039,0.000025,-0.000032,1
-3.069725,313.487274,41.679157,0.000036,0.000027,-0.00004,1
-3.072543,313.474579,41.679558,0.000036,0.000022,-0.000025,1
-3.068041,313.485779,41.680195,0.000037,0.000028,-0.000036,1
-3.072658,313.473022,41.677658,0.000025,0.000018,-0.000032,1
-3.067554,313.484711,41.681198,0.00004,0.000029,-0.000038,1
-3.071212,313.477966,41.679443,0.000023,0.000022,-0.000031,1
-3.068379,313.479767,41.681641,0.000036,0.000027,-0.000033,1
-3.069391,313.482269,41.678379,0.00003,0.000024,-0.000026,1
-3.068209,313.475616,41.682007,0.000037,0.000026,-0.000029,1
-3.066951,313.487366,41.678993,0.000025,0.000025,-0.000027,1
-3.068981,313.475922,41.681976,0.000042,0.000024,-0.000027,1
-3.066497,313.483124,41.679684,0.000025,0.000023,-0.000016,1
-3.069108,313.476807,41.680737,0.000029,0.000022,-0.000023,1
-3.067274,313.482269,41.680038,0.000031,0.000025,-0.000016,1
-3.069049,313.481201,41.67968,0.000026,0.000026,-0.000033,1
-3.067314,313.478455,41.680195,0.000039,0.000025,-0.000024,1
-3.067676,313.48288,41.678699,0.000015,0.000028,-0.000023,1
-3.066725,313.479797,41.679966,0.000031,0.000025,-0.000031,1
-3.068618,313.485718,41.678631,0.000009,0.000029,-0.00003,1
-3.067895,313.475372,41.678341,0.000039,0.000024,-0.000032,1
-3.067423,313.484802,41.678299,0.000032,0.000027,-0.000028,1
-3.067982,313.474609,41.678246,0.000022,0.000022,-0.000025,1
-3.066164,313.485229,41.68005,0.000039,0.000026,-0.00002,1
-3.068743,313.482025,41.678185,0.000016,0.000024,-0.00002,1
-3.065087,313.482452,41.679508,0.000032,0.000026,-0.000024,1
-3.067508,313.480865,41.67844,0.000017,0.000026,-0.000016,1
-3.065327,313.479462,41.678871,0.000025,0.000026,-0.000024,1
-3.066953,313.49054,41.677979,0.00003,0.000029,-0.000019,1
-3.066034,313.473846,41.677689,0.000033,0.000022,-0.000023,1
-3.064234,313.486725,41.679619,0.000029,0.000029,-0.000027,1
-3.066755,313.476013,41.677101,0.000022,0.000021,-0.00001,1
-3.063805,313.485565,41.680058,0.000026,0.000025,-0.000025,1
-3.066427,313.481018,41.677105,0.000012,0.000024,-0.000011,1
-3.064214,313.480713,41.67812,0.000032,0.000025,-0.000013,1
-3.065722,313.483948,41.676426,0.000002,0.000023,-0.000014,1
-3.065721,313.477356,41.677044,0.000036,0.000022,-0.000016,1
-3.064391,313.487213,41.676907,0.000019,0.000026,-0.000027,1
-3.066734,313.477783,41.676926,0.000034,0.000023,-0.000024,1
-3.063107,313.483337,41.677425,0.00002,0.000024,-0.000023,1
-3.065804,313.478668,41.676205,0.00002,0.000024,-0.000012,1
-3.064694,313.485535,41.677322,0.000033,0.000026,-0.000036,1
-3.067093,313.482849,41.676567,0.000018,0.000027,-0.000024,1
-3.06513,313.478363,41.677757,0.000035,0.000026,-0.000028,1
-3.066095,313.485474,41.676308,0.000009,0.000029,-0.000021,1
-3.066062,313.476044,41.677475,0.000032,0.000029,-0.000013,1
-3.063995,313.488159,41.67717,0.000015,0.000029,-0.000025,1
-3.06572,313.477966,41.677944,0.00003,0.00003,-0.000023,1
-3.063252,313.485291,41.677238,0.000018,0.000029,-0.000035,1
-3.065518,313.48056,41.676758,0.000024,0.000032,-0.000022,1
-3.062158,313.481049,41.677799,0.000022,0.000027,-0.000024,1
-3.065845,313.485992,41.676765,0.000017,0.000031,-0.000027,1
-3.063877,313.478241,41.677433,0.000028,0.000028,-0.000014,1
-3.065634,313.487732,41.677219,0.00002,0.000029,-0.000019,1
-3.064272,313.477814,41.677956,0.000021,0.000024,-0.000023,1
