x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.163550856,0.09618944,0.343524746,-0.114334591,-0.285515795,0.006036305,0.951510323,-51.71065937,-54.331872,-36.92511786,-92.25446102,-75.14849132,-47.42946576,-22.75660412,-18.34073011,-21.48517171
-0.155767443,0.109615715,0.349818627,-0.148353509,-0.289384365,0.008738332,0.945606455,-49.92451007,-51.16525569,-35.58622703,-100.7743213,-76.55310978,-48.37619231,-26.75820149,-20.78490333,-22.95167564
-0.144542574,0.13175333,0.357319238,-0.194689167,-0.306160235,0.015875868,0.931724206,-47.8747072,-50.67977036,-34.20739174,-109.312428,-78.23419002,-49.42012955,-28.96315884,-25.34944703,-25.97003504
-0.138726382,0.145111914,0.36633245,-0.22881665,-0.318339753,0.020623733,0.919715937,-46.0885579,-47.51315405,-32.86850091,-117.8322883,-79.63880847,-50.3668561,-32.96475621,-27.79362025,-27.43653897
-0.1351501,0.152282572,0.369403038,-0.236501534,-0.324483539,0.028643377,0.91539992,-47.09839704,-45.77784473,-32.7556067,-119.552176,-81.17598938,-51.02245188,-32.78928928,-29.77175029,-28.76645454
-0.132883221,0.159781804,0.371507571,-0.231808853,-0.329740309,0.039785363,0.914304713,-48.46506296,-38.27696991,-28.76268473,-120.1379405,-83.62493939,-52.00444232,-32.83714236,-32.86469509,-30.07044237
-0.136598647,0.155439184,0.37348908,-0.23090826,-0.336812072,0.037755739,0.912038106,-50.02831549,-44.60887783,-33.90977663,-122.1157666,-85.24300485,-52.74823543,-32.84833543,-34.80023251,-30.63739407
-0.134538973,0.162978128,0.376051037,-0.226238697,-0.339654461,0.048725885,0.911634075,-51.39498141,-37.10800301,-29.91685466,-122.701531,-87.69195486,-53.73022587,-32.8961885,-37.89317731,-31.9413819
-0.142500245,0.162768458,0.380252908,-0.2273508,-0.3509856,0.04826336,0.907078481,-52.78494064,-44.32351957,-34.99393962,-124.8083263,-89.72546259,-54.89311764,-32.40071158,-42.95741842,-24.55185167
-0.130245204,0.149480118,0.369230491,-0.208698335,-0.308238381,0.039576841,0.927290558,-55.04785591,-45.18607147,-35.51147076,-118.0926491,-89.85668795,-55.04498551,-39.087172,-40.66924203,-23.49401866
-0.122362021,0.139762926,0.359670063,-0.187181052,-0.264540223,0.031481759,0.945510774,-56.57241785,-44.93181905,-35.31400537,-113.3374873,-88.65519217,-54.83730405,-43.70196742,-37.19171381,-30.53942663
-0.11031636,0.130842437,0.354101135,-0.18127405,-0.225246207,0.02687098,0.956912648,-58.83533312,-45.79437095,-35.83153651,-106.6218102,-88.78641753,-54.98917192,-50.38842785,-34.90353742,-29.48159363
-0.094541375,0.1202582,0.343790249,-0.145467546,-0.170492442,0.020598713,0.974344504,-60.20407173,-44.6735207,-34.79156939,-100.7363907,-90.12628232,-55.11126512,-55.81405577,-38.09568512,-30.82538111
-0.083456114,0.108799856,0.338918606,-0.125289606,-0.12681387,0.014975878,0.983868121,-62.46698701,-45.5360726,-35.30910053,-94.02071351,-90.25750768,-55.26313299,-62.5005162,-35.80750873,-29.76754811
-0.066749967,0.099407462,0.3329895,-0.096034747,-0.064775279,0.008181169,0.993234393,-63.68281395,-43.60692342,-35.27288254,-85.02016518,-89.34305275,-55.55011353,-68.03156037,-40.38449439,-30.58552535
-0.058098616,0.08578222,0.330604905,-0.070090643,-0.024169567,0.002596553,0.997244399,-65.94572923,-44.46947532,-35.79041368,-78.304488,-89.47427811,-55.7019814,-74.71802079,-38.09631801,-29.52769235
-0.053592026,0.099854681,0.33357262,-0.097769319,-0.030444866,0.00132764,0.994742433,-62.271343,-43.40092583,-34.58898315,-82.5508129,-96.33907038,-51.96264745,-74.54288004,-39.39344874,-35.05966584
